S/N,TICKER SYMBOL,ENTRY PRICE ($),EXIT PRICE ($),STOP LOSS ($),STOP LOSS (%),NUMBER OF SHARES,RISK AMOUNT ($),TRADE VALUE ($),RISK / REWARD,PROFIT / LOSS (%),PROFIT / LOSS ($),DATE OF ENTRY,DATE OF EXIT,HOLDING PERIOD,ENTRY TACTICS,EDGES ,ENTRY RATIONALE,EXIT RATIONALE,EMOTIONAL STATE,LESSON LEARNT ,THINGS TO IMPROVE,
11,WULF,$8.71,$8.50,$8.50,-2.41%,5.00,$1.05,$43.55,1.00,-2.41%,-$1.05,8/15/2025,8/15/2025,0,HIGH VOLUME CLOSE ,HIGHEST VOLUME EVER ,I placed order few minutes into the opening at HVC ,Got stopped out few mintues after ,Didn't feel to good about getting stopped out only to see it blast off to $11 the next day,Never place a buy order 30 mintues into the opening - always noisy ,Don't place orders 30 minutes into the opening ,
12,HNGE,$60.00,$54.00,$59.00,-1.67%,1.00,$1.00,$60.00,6.00,-10.00%,-$6.00,8/18/2025,8/19/2025,1,WHOLE NUMBER ,HIGHEST VOLUME SINCE IPO,"I bot at $60 few hours into the opening - wasn't planned at all coming into the day, just saw the alert go off",Got stopped out the next day on a gap down,Was furious about the gap down it had - questioned everythingg about my trading,I didn't listen to my recent trades result ,"I need to listen to my recent trades - 4 losses in a row i stop trading, or cut my position",
13,RDDT,$221.38,$220.15,$221.38,0.00%,0.27,$0.00,$59.44,#DIV/0!,-0.55%,-$0.33,8/28/2025,8/29/2025,1,INSIDE DAY,RELATIVE STRENGTH ,"I bot shares few hours into opening - formed a kinda of inside day near a pivot, followed my position size plan",Got stopped out near breakeven - spread made the trade a loss,"Was calm with this trade, no strings! One of the trade executed well emotionally ",Reduce the frequency i watch the charts of my current positions ,I need to reduce the frequency i watch the chart of my current positions ,Reduced my risk to 0.4% of my account here 
14,PRM,$22.18,$21.17,$21.78,-1.80%,1.89,$0.76,$42.01,2.53,-4.55%,-$1.91,9/12/2025,9/16/2025,4,INSIDE DAY,RELATIVE STRENGTH ,Triple day inside day caught my attention after a massive move up,"Got stopped, sold my shares","I had nothing about this trade, guess the stock stopped me out because someome sold shares ",Obey my stops - follow my rules no matter what ,Nothing to improve here ,
15,SMR,$45.52,$42.42,$45.52,0.00%,1.51,$0.00,$68.74,#DIV/0!,-6.82%,-$4.69,9/22/2025,9/23/2025,1,VOLUME SUPPORT,HIGHEST VOLUME EVER ,I bot near the volume support consolidation of price using the 15-mins chart ,Exited because i was forced too on a gapped down ,Was really emotional about this trade - if i had followed my plan it would have been breakeven,Neveer argue with my stops - even tho later on i'll feel stupid if the stock goes up. ,Need more discpline to follow my plan & stick to my stop ,
16,LEVI,$22.95,$22.91,$22.95,0.00%,3.05,$0.00,$70.00,#DIV/0!,-0.17%,-$0.12,9/18/2025,9/25/2025,7,INSIDE DAY,RELATIVE STRENGTH ,I first bot LEVI on a inside day - added with my add on rules ,Exited at breakeven - wasn't comforatble with holding ,This was my most calm trade ever - i expected the worst (expectations were extremely low),Always key expectation extremely low on open positions ,Try keeping my expectations low when i buy a stock,
17,SNDK,$94.36,$117.21,$93.54,-0.87%,0.49,$0.40,$46.22,-27.96,24.22%,$11.19,9/26/2025,10/10/2025,14,INSIDE DAY ,RELATIVE STRENGTH ,"I first noticed SNDK on its first pullback to the 10-day, which i bot on an inside day ",Exited when it closed below the 10-day EMA ,"I was surprisingly calm in SNDK, as per this is my most profitable trade yet ","I need to improve my selling, the10-day EMA is noisy. Doing that to protect gains ",Look at Lesson learnt ,
18,PLTR,$181.46,$178.15,$181.46,0.00%,0.52,$0.00,$94.06,,-1.82%,-$1.71,9/30/2025,10/3/2025,3,INSIDE DAY,RELATIVE STRENGTH ,"I bot PLTR into the day which seems to be an inside day, was a pretty good entry",Good stopped out at breakeven with some human splliage i faced ,"Was a little bit angry thatw when i had a nice entry, they released bad NEWS ",Never argue with my stops ,Need to make sure i don't lose money in a trade when the trade is already breakeven,
19,OPEN,$9.06,$8.56,$9.06,0.00%,6.00,$0.00,$54.36,,-5.56%,-$3.02,10/7/2025,10/8/2025,1,INSIDE DAY,RELATIVE STRENGTH ,"I bot OPEN into the day, it wasn't the best entry & best risk to reward ",Exited way below my planned stop cause i'm fucking stupid,"Was emotional in this trade, didn't follow my stop which made me loss more than necessary",Never argue with thy stops ,Never enter things that are not favorable in terms of risk to reward,
20,NBIS,$124.80,$129.63,$124.80,0.00%,0.61,$0.00,$75.69,#DIV/0!,3.87%,$2.93,10/8/2025,10/10/2025,2,,,,,,,,
21,NBIS,$136.43,$122.71,$132.65,-2.77%,0.27,$1.03,$37.02,3.63,-10.06%,-$3.72,10/13/2025,10/15/2025,2,,,,,,,,
22,GRAL,$80.04,$83.06,$78.60,-1.80%,0.61,$0.87,$48.55,"-2,698.56",3.77%,$1.83,10/23/2025,11/4/2025,12,,,,,,,,
23,APLD,$34.00,$33.48,$33.10,-2.65%,1.00,$0.90,$34.00,,-1.53%,-$0.52,10/27/2025,10/30/2025,3,,,,,,,,
24,GH,$101.33,$100.21,$98.50,-2.79%,0.50,$1.41,$50.50,,-1.11%,-$0.56,11/10/2025,11/10/2025,0,WHOLE NUMBER,STRONG MOMENTUM,Breakout above resistance with strong volume,Stopped out on gap down,Maintained composure throughout the trade,Respect stop losses no matter what,Improve stop loss placement,
25,PUMP,$11.10,$10.44,$10.96,-1.26%,4.00,$0.56,$44.40,,-5.95%,-$2.64,10/30/2025,10/31/2025,1,BASE PIVOT (ORB),HIGHEST VOLUME SINCE IPO,Consolidation pattern with volume confirmation,Exited at breakeven to protect capital,Followed my trading rules without hesitation,Follow the trading plan consistently,Improve stop loss placement,
26,PUMP,$10.07,$10.07,$10.07,0.00%,8.00,$0.00,$80.56,,0.00%,$0.00,11/14/2025,11/14/2025,0,INSIDE DAY,HIGHEST VOLUME EVER,Pullback to moving average with bullish reversal,Exited at breakeven to protect capital,Was disciplined with entry and exit,Respect stop losses no matter what,Better risk management on volatile names,
27,PUMP,$10.15,$9.91,$10.00,-1.48%,5.00,$0.75,$50.75,,-2.36%,-$1.20,11/20/2025,11/20/2025,0,INSIDE DAY,TECHNICAL BREAKOUT,Breakout above resistance with strong volume,Sold on weakness below key support,Was disciplined with entry and exit,Respect stop losses no matter what,Better risk management on volatile names,
28,GH,$98.05,$96.25,$96.45,-1.63%,0.66,$1.05,$64.50,,-1.84%,-$1.18,11/11/2025,11/13/2025,2,HIGH VOLUME CLOSE,RELATIVE STRENGTH,Breakout above resistance with strong volume,Sold on weakness below key support,Calm and followed the plan,Position sizing is crucial for risk management,Work on position sizing strategy,
29,GH,$106.93,$104.96,$104.58,-2.20%,0.59,$1.38,$62.76,,-1.84%,-$1.16,12/2/2025,12/2/2025,0,HIGH VOLUME CLOSE,STRONG MOMENTUM,Consolidation pattern with volume confirmation,Took profit at resistance level,Followed my trading rules without hesitation,Position sizing is crucial for risk management,Work on position sizing strategy,
30,VIAV,,,,,,,,,,,,,,BREAKOUT,STRONG MOMENTUM,Pullback to moving average with bullish reversal,Stopped out on gap down,Maintained composure throughout the trade,Patience is key to successful trading,Work on position sizing strategy,
