
S/N,TICKER SYMBOL,ENTRY TACTICS,EDGES ,ENTRY RATIONALE,EXIT RATIONALE,EMOTIONAL STATE,LESSON LEARNT ,THINGS TO IMPROVE,
11,WULF,HIGH VOLUME CLOSE ,HIGHEST VOLUME EVER ,I placed order few minutes into the opening at HVC ,Got stopped out few mintues after ,Didn't feel to good about getting stopped out only to see it blast off to $11 the next day,Never place a buy order 30 mintues into the opening - always noisy ,Don't place orders 30 minutes into the opening ,
12,HNGE,WHOLE NUMBER ,HIGHEST VOLUME SINCE IPO,"I bot at $60 few hours into the opening - wasn't planned at all coming into the day, just saw the alert go off",Got stopped out the next day on a gap down,Was furious about the gap down it had - questioned everythingg about my trading,I didn't listen to my recent trades result ,"I need to listen to my recent trades - 4 losses in a row i stop trading, or cut my position",
13,RDDT,INSIDE DAY,RELATIVE STRENGTH ,"I bot shares few hours into opening - formed a kinda of inside day near a pivot, followed my position size plan",Got stopped out near breakeven - spread made the trade a loss,"Was calm with this trade, no strings! One of the trade executed well emotionally ",Reduce the frequency i watch the charts of my current positions ,I need to reduce the frequency i watch the chart of my current positions ,Reduced my risk to 0.4% of my account here 
14,PRM,INSIDE DAY,RELATIVE STRENGTH ,Triple day inside day caught my attention after a massive move up,"Got stopped, sold my shares","I had nothing about this trade, guess the stock stopped me out because someome sold shares ",Obey my stops - follow my rules no matter what ,Nothing to improve here ,
15,SMR,VOLUME SUPPORT,HIGHEST VOLUME EVER ,I bot near the volume support consolidation of price using the 15-mins chart ,Exited because i was forced too on a gapped down ,Was really emotional about this trade - if i had followed my plan it would have been breakeven,Neveer argue with my stops - even tho later on i'll feel stupid if the stock goes up. ,Need more discpline to follow my plan & stick to my stop ,
16,LEVI,INSIDE DAY,RELATIVE STRENGTH ,I first bot LEVI on a inside day - added with my add on rules ,Exited at breakeven - wasn't comforatble with holding ,This was my most calm trade ever - i expected the worst (expectations were extremely low),Always key expectation extremely low on open positions ,Try keeping my expectations low when i buy a stock,
17,SNDK,INSIDE DAY ,RELATIVE STRENGTH ,"I first noticed SNDK on its first pullback to the 10-day, which i bot on an inside day ",Exited when it closed below the 10-day EMA ,"I was surprisingly calm in SNDK, as per this is my most profitable trade yet ","I need to improve my selling, the10-day EMA is noisy. Doing that to protect gains ",Look at Lesson learnt ,
18,PLTR,INSIDE DAY,RELATIVE STRENGTH ,"I bot PLTR into the day which seems to be an inside day, was a pretty good entry",Good stopped out at breakeven with some human splliage i faced ,"Was a little bit angry thatw when i had a nice entry, they released bad NEWS ",Never argue with my stops ,Need to make sure i don't lose money in a trade when the trade is already breakeven,
19,OPEN,INSIDE DAY,RELATIVE STRENGTH ,"I bot OPEN into the day, it wasn't the best entry & best risk to reward ",Exited way below my planned stop cause i'm fucking stupid,"Was emotional in this trade, didn't follow my stop which made me loss more than necessary",Never argue with thy stops ,Never enter things that are not favorable in terms of risk to reward,
20,NBIS,,,,,,,,
21,NBIS,,,,,,,,
22,GRAL,,,,,,,,
23,APLD,,,,,,,,
